genotype_id	phenotype_id
ID_1	ID_1;;pilot3_run1_pilot3_lane1
ID_2	ID_2;;pilot3_run1_pilot3_lane1
ID_3	ID_3;;pilot3_run1_pilot3_lane1
ID_4	ID_4;;pilot3_run1_pilot3_lane1
ID_5	ID_5;;pilot3_run1_pilot3_lane1
ID_6	ID_6;;pilot3_run1_pilot3_lane1
ID_7	ID_7;;pilot3_run1_pilot3_lane2
ID_8	ID_8;;pilot3_run1_pilot3_lane2
ID_9	ID_9;;pilot3_run1_pilot3_lane2
ID_10	ID_10;;pilot3_run1_pilot3_lane3
ID_11	ID_11;;pilot3_run1_pilot3_lane3
ID_12	ID_12;;pilot3_run1_pilot3_lane3
ID_13	ID_13;;pilot3_run1_pilot3_lane4
ID_14	ID_14;;pilot3_run1_pilot3_lane4
ID_15	ID_15;;pilot3_run1_pilot3_lane4
ID_16	ID_16;;pilot3_run1_pilot3_lane4
ID_17	ID_17;;pilot3_run1_pilot3_lane4
ID_18	ID_18;;pilot3_run1_pilot3_lane4
ID_19	ID_19;;pilot3_run1_pilot3_lane5
ID_20	ID_20;;pilot3_run1_pilot3_lane5
ID_21	ID_21;;pilot3_run1_pilot3_lane5
ID_22	ID_22;;pilot3_run1_pilot3_lane5
ID_23	ID_23;;pilot3_run1_pilot3_lane5
ID_24	ID_24;;pilot3_run1_pilot3_lane5
ID_25	ID_25;;pilot3_run1_pilot3_lane6
ID_26	ID_26;;pilot3_run1_pilot3_lane6
ID_27	ID_27;;pilot3_run1_pilot3_lane6
ID_28	ID_28;;pilot3_run1_pilot3_lane6
ID_29	ID_29;;pilot3_run1_pilot3_lane6
ID_30	ID_30;;pilot3_run1_pilot3_lane7
ID_31	ID_31;;pilot3_run1_pilot3_lane7
ID_32	ID_32;;pilot3_run1_pilot3_lane7
ID_33	ID_33;;pilot3_run1_pilot3_lane7
ID_34	ID_34;;pilot3_run1_pilot3_lane7
ID_35	ID_35;;pilot3_run1_pilot3_lane7
ID_36	ID_36;;pilot3_run1_pilot3_lane8
ID_37	ID_37;;pilot3_run1_pilot3_lane8
ID_38	ID_38;;pilot3_run1_pilot3_lane8
ID_39	ID_39;;pilot3_run1_pilot3_lane8
ID_40	ID_40;;pilot3_run1_pilot3_lane8
